V,0,1,1
V,1,2,1
V,2,3,1
V,3,4,1
V,4,5,1
V,5,6,1
V,6,7,1
V,7,8,1
V,8,9,1
V,9,10,1
V,10,11,1
V,11,12,1
V,12,13,1
V,13,14,1
V,14,15,1
V,15,16,1
V,16,17,1
V,17,18,1
V,18,19,1
V,19,20,1
V,20,21,1
V,21,22,1
V,22,23,1
V,23,24,1
V,24,25,1
V,25,26,1
V,26,27,1
V,27,28,1
V,28,29,1
V,29,30,1
V,30,31,1
V,31,1,2
V,32,2,2
V,33,3,2
V,34,4,2
V,35,5,2
V,36,6,2
V,37,7,2
V,38,8,2
V,39,9,2
V,40,10,2
V,41,11,2
V,42,12,2
V,43,13,2
V,44,14,2
V,45,15,2
V,46,16,2
V,47,17,2
V,48,18,2
V,49,19,2
V,50,20,2
V,51,21,2
V,52,22,2
V,53,23,2
V,54,24,2
V,55,25,2
V,56,26,2
V,57,27,2
V,58,28,2
V,59,29,2
V,60,30,2
V,61,31,2
V,62,1,3
V,63,2,3
V,64,3,3
V,65,4,3
V,66,5,3
V,67,6,3
V,68,7,3
V,69,8,3
V,70,9,3
V,71,10,3
V,72,11,3
V,73,12,3
V,74,13,3
V,75,14,3
V,76,15,3
V,77,16,3
V,78,17,3
V,79,18,3
V,80,19,3
V,81,20,3
V,82,21,3
V,83,22,3
V,84,23,3
V,85,24,3
V,86,25,3
V,87,26,3
V,88,27,3
V,89,28,3
V,90,29,3
V,91,30,3
V,92,31,3
V,93,1,4
V,94,2,4
V,95,3,4
V,96,4,4
V,97,5,4
V,98,6,4
V,99,7,4
V,100,8,4
V,101,9,4
V,102,10,4
V,103,11,4
V,104,12,4
V,105,13,4
V,106,14,4
V,107,15,4
V,108,16,4
V,109,17,4
V,110,18,4
V,111,19,4
V,112,20,4
V,113,21,4
V,114,22,4
V,115,23,4
V,116,24,4
V,117,25,4
V,118,26,4
V,119,27,4
V,120,28,4
V,121,29,4
V,122,30,4
V,123,31,4
V,124,1,5
V,125,2,5
V,126,3,5
V,127,4,5
V,128,5,5
V,129,6,5
V,130,7,5
V,131,8,5
V,132,9,5
V,133,10,5
V,134,11,5
V,135,12,5
V,136,13,5
V,137,14,5
V,138,15,5
V,139,16,5
V,140,17,5
V,141,18,5
V,142,19,5
V,143,20,5
V,144,21,5
V,145,22,5
V,146,23,5
V,147,24,5
V,148,25,5
V,149,26,5
V,150,27,5
V,151,28,5
V,152,29,5
V,153,30,5
V,154,31,5
V,155,1,6
V,156,2,6
V,157,3,6
V,158,4,6
V,159,5,6
V,160,6,6
V,161,7,6
V,162,8,6
V,163,9,6
V,164,10,6
V,165,11,6
V,166,12,6
V,167,13,6
V,168,14,6
V,169,15,6
V,170,16,6
V,171,17,6
V,172,18,6
V,173,19,6
V,174,20,6
V,175,21,6
V,176,22,6
V,177,23,6
V,178,24,6
V,179,25,6
V,180,26,6
V,181,27,6
V,182,28,6
V,183,29,6
V,184,30,6
V,185,31,6
V,186,1,7
V,187,2,7
V,188,3,7
V,189,4,7
V,190,5,7
V,191,6,7
V,192,7,7
V,193,8,7
V,194,9,7
V,195,10,7
V,196,11,7
V,197,12,7
V,198,13,7
V,199,14,7
V,200,15,7
V,201,16,7
V,202,17,7
V,203,18,7
V,204,19,7
V,205,20,7
V,206,21,7
V,207,22,7
V,208,23,7
V,209,24,7
V,210,25,7
V,211,26,7
V,212,27,7
V,213,28,7
V,214,29,7
V,215,30,7
V,216,31,7
V,217,1,8
V,218,2,8
V,219,3,8
V,220,4,8
V,221,5,8
V,222,6,8
V,223,7,8
V,224,8,8
V,225,9,8
V,226,10,8
V,227,11,8
V,228,12,8
V,229,13,8
V,230,14,8
V,231,15,8
V,232,16,8
V,233,17,8
V,234,18,8
V,235,19,8
V,236,20,8
V,237,21,8
V,238,22,8
V,239,23,8
V,240,24,8
V,241,25,8
V,242,26,8
V,243,27,8
V,244,28,8
V,245,29,8
V,246,30,8
V,247,31,8
V,248,1,9
V,249,2,9
V,250,3,9
V,251,4,9
V,252,5,9
V,253,6,9
V,254,7,9
V,255,8,9
V,256,9,9
V,257,10,9
V,258,11,9
V,259,12,9
V,260,13,9
V,261,14,9
V,262,15,9
V,263,16,9
V,264,17,9
V,265,18,9
V,266,19,9
V,267,20,9
V,268,21,9
V,269,22,9
V,270,23,9
V,271,24,9
V,272,25,9
V,273,26,9
V,274,27,9
V,275,28,9
V,276,29,9
V,277,30,9
V,278,31,9
V,279,1,10
V,280,2,10
V,281,3,10
V,282,4,10
V,283,5,10
V,284,6,10
V,285,7,10
V,286,8,10
V,287,9,10
V,288,10,10
V,289,11,10
V,290,12,10
V,291,13,10
V,292,14,10
V,293,15,10
